Nombre,Valores
Intensidad de color,Numeric
Matiz violeta,Numeric
Matiz rojo,Numeric
Matiz oxidado,Numeric
Intensidad aromatica,Numeric
Chocolate,Numeric
Cafe,Numeric
Tierra,Numeric
Tabaco,Numeric
Mermelada,Numeric
eucalyptus,Numeric
Herbáceo,Numeric
Aceituna,Numeric
Vainilla,Numeric
Acético,Numeric
Miel,Numeric
Brocoli,Numeric
Compota,Numeric
Humo,Numeric
Oxidado,Numeric
Alcohol,Numeric
Trapo Mojado,Numeric
Acidez,Numeric
Amargo,Numeric
Dulce,Numeric
Astringencia,Numeric
Volumen en boca,Numeric
